Hc_80_Cap_Cycles,Project,Hc_80_Cap_Cycles_d
542,Product,642
542,Product,642
535,Product,635
535,Product,635
529,Product,629
529,Product,629
506,Product,606
506,Product,606
498,Product,598
498,Product,598
475,Product,575
475,Product,575
471,Product,571
471,Product,571
467,Product,567
467,Product,567
463,Product,563
463,Product,563
461,Product,561
461,Product,561
441,Product,541
441,Product,541
427,Product,527
427,Product,527
397,Product,497
397,Product,497
389,Product,489
389,Product,489
389,Product,489
389,Product,489
380,Product,480
380,Product,480
378,Product,478
378,Product,478
378,Product,478
378,Product,478
375,Product,475
375,Product,475
374,Product,474
374,Product,474
372,Product,472
372,Product,472
370,Product,470
370,Product,470
362,Product,462
362,Product,462
362,Product,462
362,Product,462
361,Product,461
361,Product,461
360,Product,460
360,Product,460
360,Product,460
360,Product,460
356,Product,456
356,Product,456
354,Product,454
354,Product,454
346,Product,446
346,Product,446
341,Product,441
341,Product,441
335,Product,435
335,Product,435
322,Product,422
322,Product,422
309,Product,409
309,Product,409
305,Product,405
305,Product,405
287,Product,387
287,Product,387
277,Product,377
277,Product,377
262,Product,362
262,Product,362
262,Product,362
262,Product,362
248,Product,348
248,Product,348
247,Product,347
247,Product,347
243,Product,343
243,Product,343
243,Product,343
243,Product,343
235,Product,335
235,Product,335
233,Product,333
233,Product,333
230,Product,330
230,Product,330
227,Product,327
227,Product,327
227,Product,327
227,Product,327
226,Product,326
226,Product,326
220,Product,320
220,Product,320
220,Product,320
220,Product,320
219,Product,319
219,Product,319
218,Product,318
218,Product,318
216,Product,316
216,Product,316
215,Product,315
215,Product,315
214,Product,314
214,Product,314
213,Product,313
213,Product,313
213,Product,313
213,Product,313
209,Product,309
209,Product,309
209,Product,309
209,Product,309
208,Product,308
208,Product,308
208,Product,308
208,Product,308
206,Product,306
206,Product,306
204,Product,304
204,Product,304
204,Product,304
204,Product,304
201,Product,301
201,Product,301
201,Product,301
201,Product,301
199,Product,299
199,Product,299
197,Product,297
197,Product,297
197,Product,297
197,Product,297
196,Product,296
196,Product,296
195,Product,295
195,Product,295
194,Product,294
194,Product,294
191,Product,291
191,Product,291
191,Product,291
191,Product,291
188,Product,288
188,Product,288
187,Product,287
187,Product,287
187,Product,287
187,Product,287
187,Product,287
187,Product,287
186,Product,286
186,Product,286
186,Product,286
186,Product,286
186,Product,286
186,Product,286
186,Product,286
186,Product,286
185,Product,285
185,Product,285
184,Product,284
184,Product,284
184,Product,284
805,Innovation,905
794,Innovation,894
780,Innovation,880
781,Innovation,881
756,Innovation,856
751,Innovation,851
698,Innovation,798
691,Innovation,791
685,Innovation,785
684,Innovation,784
678,Innovation,778
575,Innovation,675
500,Innovation,600
500,Innovation,600
457,Innovation,557
437,Innovation,537
419,Innovation,519
411,Innovation,511
405,Innovation,505
405,Innovation,505
400,Innovation,500
397,Innovation,497
395,Innovation,495
391,Innovation,491
391,Innovation,491
381,Innovation,481
378,Innovation,478
369,Innovation,469
364,Innovation,464
352,Innovation,452
349,Innovation,449
346,Innovation,446
345,Innovation,445
345,Innovation,445
345,Innovation,445
344,Innovation,444
344,Innovation,444
343,Innovation,443
342,Innovation,442
341,Innovation,441
340,Innovation,440
339,Innovation,439
335,Innovation,435
335,Innovation,435
334,Innovation,434
327,Innovation,427
320,Innovation,420
319,Innovation,419
318,Innovation,418
317,Innovation,417
316,Innovation,416
313,Innovation,413
311,Innovation,411
309,Innovation,409
309,Innovation,409
309,Innovation,409
309,Innovation,409
308,Innovation,408
308,Innovation,408
306,Innovation,406
305,Innovation,405
304,Innovation,404
304,Innovation,404
303,Innovation,403
303,Innovation,403
302,Innovation,402
298,Innovation,398
298,Innovation,398
295,Innovation,395
294,Innovation,394
294,Innovation,394
291,Innovation,391
290,Innovation,390
290,Innovation,390
287,Innovation,387
287,Innovation,387
286,Innovation,386
286,Innovation,386
286,Innovation,386
285,Innovation,385
284,Innovation,384
283,Innovation,383
283,Innovation,383
282,Innovation,382
280,Innovation,380
280,Innovation,380
280,Innovation,380
278,Innovation,378
278,Innovation,378
275,Innovation,375
275,Innovation,375
274,Innovation,374
272,Innovation,372
271,Innovation,371
269,Innovation,369
269,Innovation,369
266,Innovation,366
266,Innovation,366
265,Innovation,365
265,Innovation,365
264,Innovation,364
263,Innovation,363
262,Innovation,362
261,Innovation,361
260,Innovation,360
260,Innovation,360
260,Innovation,360
258,Innovation,358
258,Innovation,358
258,Innovation,358
258,Innovation,358
257,Innovation,357
257,Innovation,357
256,Innovation,356
255,Innovation,355
255,Innovation,355
254,Innovation,354
254,Innovation,354
253,Innovation,353
253,Innovation,353
252,Innovation,352
251,Innovation,351
251,Innovation,351
249,Innovation,349
248,Innovation,348
247,Innovation,347
247,Innovation,347
247,Innovation,347
247,Innovation,347
246,Innovation,346
245,Innovation,345
243,Innovation,343
243,Innovation,343
242,Innovation,342
242,Innovation,342
241,Innovation,341
240,Innovation,340
238,Innovation,338
237,Innovation,337
236,Innovation,336
236,Innovation,336
235,Innovation,335
234,Innovation,334
234,Innovation,334
234,Innovation,334
234,Innovation,334
234,Innovation,334
233,Innovation,333
233,Innovation,333
233,Innovation,333
232,Innovation,332
231,Innovation,331
229,Innovation,329
228,Innovation,328
227,Innovation,327
227,Innovation,327
227,Innovation,327
226,Innovation,326
226,Innovation,326
226,Innovation,326
226,Innovation,326
226,Innovation,326
225,Innovation,325
224,Innovation,324
223,Innovation,323
223,Innovation,323
222,Innovation,322
222,Innovation,322
221,Innovation,321
221,Innovation,321
220,Innovation,320
220,Innovation,320
219,Innovation,319
219,Innovation,319
215,Innovation,315
214,Innovation,314
213,Innovation,313
213,Innovation,313
213,Innovation,313
213,Innovation,313
212,Innovation,312
212,Innovation,312
212,Innovation,312
211,Innovation,311
210,Innovation,310
210,Innovation,310
210,Innovation,310
210,Innovation,310
208,Innovation,308
208,Innovation,308
208,Innovation,308
207,Innovation,307
206,Innovation,306
206,Innovation,306
206,Innovation,306
206,Innovation,306
204,Innovation,304
204,Innovation,304
203,Innovation,303
203,Innovation,303
203,Innovation,303
202,Innovation,302
202,Innovation,302
200,Innovation,300
198,Innovation,298
196,Innovation,296
196,Innovation,296
195,Innovation,295
194,Innovation,294
193,Innovation,293
193,Innovation,293
192,Innovation,292
192,Innovation,292
191,Innovation,291
191,Innovation,291
190,Innovation,290
190,Innovation,290
190,Innovation,290
188,Innovation,288
188,Innovation,288
185,Innovation,285
183,Innovation,283
183,Innovation,283
183,Innovation,283
182,Innovation,282
182,Innovation,282
182,Innovation,282
181,Innovation,281
181,Innovation,281
181,Innovation,281
180,Innovation,280
179,Innovation,279
178,Innovation,278
178,Innovation,278
177,Innovation,277
177,Innovation,277
176,Innovation,276
174,Innovation,274
174,Innovation,274
172,Innovation,272
171,Innovation,271
171,Innovation,271
170,Innovation,270
170,Innovation,270
170,Innovation,270
170,Innovation,270
169,Innovation,269
168,Innovation,268
168,Innovation,268
168,Innovation,268
168,Innovation,268
167,Innovation,267
167,Innovation,267
167,Innovation,267
167,Innovation,267
166,Innovation,266
163,Innovation,263
163,Innovation,263
163,Innovation,263
163,Innovation,263
162,Innovation,262
162,Innovation,262
162,Innovation,262
160,Innovation,260
159,Innovation,259
159,Innovation,259
159,Innovation,259
158,Innovation,258
157,Innovation,257
157,Innovation,257
157,Innovation,257
157,Innovation,257
157,Innovation,257
156,Innovation,256
155,Innovation,255
155,Innovation,255
155,Innovation,255
154,Innovation,254
154,Innovation,254
154,Innovation,254
154,Innovation,254
153,Innovation,253
153,Innovation,253
151,Innovation,251
151,Innovation,251
150,Innovation,250
150,Innovation,250
150,Innovation,250
150,Innovation,250
149,Innovation,249
149,Innovation,249
148,Innovation,248
147,Innovation,247
144,Innovation,244
143,Innovation,243
141,Innovation,241
140,Innovation,240
139,Innovation,239
139,Innovation,239
139,Innovation,239
138,Innovation,238
138,Innovation,238
138,Innovation,238
137,Innovation,237
136,Innovation,236
135,Innovation,235
135,Innovation,235
135,Innovation,235
135,Innovation,235
134,Innovation,234
134,Innovation,234
133,Innovation,233
133,Innovation,233
132,Innovation,232
132,Innovation,232
131,Innovation,231
130,Innovation,230
130,Innovation,230
129,Innovation,229
129,Innovation,229
129,Innovation,229
129,Innovation,229
129,Innovation,229
128,Innovation,228
127,Innovation,227
126,Innovation,226
126,Innovation,226
126,Innovation,226
126,Innovation,226
125,Innovation,225
125,Innovation,225
123,Innovation,223
122,Innovation,222
122,Innovation,222
122,Innovation,222
122,Innovation,222
122,Innovation,222
122,Innovation,222
121,Innovation,221
120,Innovation,220
120,Innovation,220
120,Innovation,220
119,Innovation,219
119,Innovation,219
118,Innovation,218
116,Innovation,216
115,Innovation,215
115,Innovation,215
114,Innovation,214
114,Innovation,214
114,Innovation,214
113,Innovation,213
113,Innovation,213
112,Innovation,212
111,Innovation,211
111,Innovation,211
110,Innovation,210
108,Innovation,208
108,Innovation,208
108,Innovation,208
108,Innovation,208
107,Innovation,207
107,Innovation,207
106,Innovation,206
105,Innovation,205
105,Innovation,205
104,Innovation,204
104,Innovation,204
104,Innovation,204
103,Innovation,203
103,Innovation,203
102,Innovation,202
101,Innovation,201
101,Innovation,201
101,Innovation,201
101,Innovation,201
100,Innovation,200
100,Innovation,200
100,Innovation,200
99,Innovation,199
98,Innovation,198
98,Innovation,198
98,Innovation,198
98,Innovation,198
98,Innovation,198
97,Innovation,197
97,Innovation,197
97,Innovation,197
97,Innovation,197
97,Innovation,197
96,Innovation,196
96,Innovation,196
95,Innovation,195
94,Innovation,194
94,Innovation,194
93,Innovation,193
93,Innovation,193
93,Innovation,193
93,Innovation,193
93,Innovation,193
92,Innovation,192
92,Innovation,192
91,Innovation,191
90,Innovation,190
90,Innovation,190
89,Innovation,189
89,Innovation,189
89,Innovation,189
88,Innovation,188
88,Innovation,188
87,Innovation,187
87,Innovation,187
86,Innovation,186
86,Innovation,186
85,Innovation,185
85,Innovation,185
84,Innovation,184
84,Innovation,184
84,Innovation,184
84,Innovation,184
84,Innovation,184
82,Innovation,182
82,Innovation,182
81,Innovation,181
81,Innovation,181
80,Innovation,180
79,Innovation,179
79,Innovation,179
79,Innovation,179
79,Innovation,179
78,Innovation,178
78,Innovation,178
78,Innovation,178
77,Innovation,177
77,Innovation,177
76,Innovation,176
76,Innovation,176
75,Innovation,175
75,Innovation,175
75,Innovation,175
74,Innovation,174
74,Innovation,174
74,Innovation,174
73,Innovation,173
73,Innovation,173
73,Innovation,173
73,Innovation,173
72,Innovation,172
72,Innovation,172
72,Innovation,172
72,Innovation,172
72,Innovation,172
71,Innovation,171
71,Innovation,171
70,Innovation,170
70,Innovation,170
69,Innovation,169
69,Innovation,169
69,Innovation,169
69,Innovation,169
68,Innovation,168
68,Innovation,168
68,Innovation,168
68,Innovation,168
68,Innovation,168
67,Innovation,167
67,Innovation,167
66,Innovation,166
66,Innovation,166
65,Innovation,165
65,Innovation,165
65,Innovation,165
65,Innovation,165
64,Innovation,164
64,Innovation,164
64,Innovation,164
64,Innovation,164
64,Innovation,164
63,Innovation,163
62,Innovation,162
62,Innovation,162
62,Innovation,162
61,Innovation,161
61,Innovation,161
61,Innovation,161
61,Innovation,161
61,Innovation,161
61,Innovation,161
61,Innovation,161
60,Innovation,160
60,Innovation,160
60,Innovation,160
60,Innovation,160
60,Innovation,160
60,Innovation,160
60,Innovation,160
59,Innovation,159
58,Innovation,158
58,Innovation,158
57,Innovation,157
57,Innovation,157
57,Innovation,157
57,Innovation,157
57,Innovation,157
56,Innovation,156
56,Innovation,156
55,Innovation,155
55,Innovation,155
55,Innovation,155
55,Innovation,155
55,Innovation,155
55,Innovation,155
55,Innovation,155
54,Innovation,154
54,Innovation,154
54,Innovation,154
53,Innovation,153
51,Innovation,151
51,Innovation,151
50,Innovation,150
50,Innovation,150
49,Innovation,149
49,Innovation,149
48,Innovation,148
48,Innovation,148
47,Innovation,147
47,Innovation,147
47,Innovation,147
47,Innovation,147
45,Innovation,145
45,Innovation,145
45,Innovation,145
42,Innovation,142
42,Innovation,142
41,Innovation,141
41,Innovation,141
41,Innovation,141
40,Innovation,140
39,Innovation,139
39,Innovation,139
38,Innovation,138
38,Innovation,138
38,Innovation,138
37,Innovation,137
36,Innovation,136
36,Innovation,136
36,Innovation,136
36,Innovation,136
36,Innovation,136
35,Innovation,135
34,Innovation,134
34,Innovation,134
34,Innovation,134
34,Innovation,134
33,Innovation,133
33,Innovation,133
33,Innovation,133
33,Innovation,133
33,Innovation,133
32,Innovation,132
31,Innovation,131
31,Innovation,131
30,Innovation,130
30,Innovation,130
29,Innovation,129
28,Innovation,128
28,Innovation,128
28,Innovation,128
27,Innovation,127
27,Innovation,127
26,Innovation,126
26,Innovation,126
26,Innovation,126
24,Innovation,124
23,Innovation,123
23,Innovation,123
23,Innovation,123
22,Innovation,122
22,Innovation,122
21,Innovation,121
21,Innovation,121
21,Innovation,121
21,Innovation,121
20,Innovation,120
20,Innovation,120
20,Innovation,120
20,Innovation,120
20,Innovation,120
19,Innovation,119
19,Innovation,119
19,Innovation,119
18,Innovation,118
18,Innovation,118
17,Innovation,117
17,Innovation,117
17,Innovation,117
17,Innovation,117
17,Innovation,117
16,Innovation,116
16,Innovation,116
16,Innovation,116
15,Innovation,115
14,Innovation,114
14,Innovation,114
14,Innovation,114
13,Innovation,113
13,Innovation,113
13,Innovation,113
13,Innovation,113
13,Innovation,113
12,Innovation,112
12,Innovation,112
12,Innovation,112
12,Innovation,112
11,Innovation,111
11,Innovation,111
11,Innovation,111
11,Innovation,111
11,Innovation,111
11,Innovation,111
8,Innovation,108
7,Innovation,107
6,Innovation,106
6,Innovation,106
5,Innovation,105
4,Innovation,104
4,Innovation,104
4,Innovation,104
4,Innovation,104
4,Innovation,104
3,Innovation,103
0,Innovation,100
405,Safety,505
405,Safety,505
405,Safety,505
397,Safety,497
389,Safety,489
389,Safety,489
380,Safety,480
378,Safety,478
378,Safety,478
375,Safety,475
362,Safety,462
362,Safety,462
361,Safety,461
360,Safety,460
360,Safety,460
354,Safety,454
346,Safety,446
335,Safety,435
322,Safety,422
297,Safety,397
297,Safety,397
296,Safety,396
294,Safety,394
291,Safety,391
291,Safety,391
288,Safety,388
287,Safety,387
287,Safety,387
287,Safety,387
286,Safety,386
286,Safety,386
286,Safety,386
286,Safety,386
284,Safety,384
284,Safety,384
284,Safety,384
277,Safety,377
262,Safety,362
262,Safety,362
248,Safety,348
243,Safety,343
243,Safety,343
233,Safety,333
230,Safety,330
227,Safety,327
227,Safety,327
220,Safety,320
220,Safety,320
219,Safety,319
218,Safety,318
216,Safety,316
215,Safety,315
214,Safety,314
213,Safety,313
209,Safety,309
201,Safety,301
182,Safety,282
182,Safety,282
181,Safety,281
181,Safety,281
180,Safety,280
179,Safety,279
177,Safety,277
177,Safety,277
176,Safety,276
175,Safety,275
175,Safety,275
174,Safety,274
174,Safety,274
173,Safety,273
172,Safety,272
171,Safety,271
171,Safety,271
170,Safety,270
170,Safety,270
169,Safety,269
168,Safety,268
168,Safety,268
167,Safety,267
167,Safety,267
166,Safety,266
165,Safety,265
163,Safety,263
162,Safety,262
157,Safety,257
156,Safety,256
156,Safety,256
155,Safety,255
151,Safety,251
150,Safety,250
149,Safety,249
146,Safety,246
141,Safety,241
136,Safety,236
134,Safety,234
131,Safety,231
130,Safety,230
129,Safety,229
129,Safety,229
127,Safety,227
123,Safety,223
120,Safety,220
117,Safety,217
113,Safety,213
110,Safety,210
101,Safety,201
100,Safety,200
99,Safety,199
97,Safety,197
80,Safety,180
79,Safety,179
79,Safety,179
73,Safety,173
68,Safety,168
67,Safety,167
66,Safety,166
63,Safety,163
61,Safety,161
60,Safety,160
184,Product,284
184,Product,284
184,Product,284
182,Product,282
182,Product,282
182,Product,282
182,Product,282
181,Product,281
181,Product,281
181,Product,281
181,Product,281
180,Product,280
180,Product,280
179,Product,279
179,Product,279
179,Product,279
179,Product,279
177,Product,277
177,Product,277
177,Product,277
177,Product,277
176,Product,276
176,Product,276
176,Product,276
176,Product,276
175,Product,275
175,Product,275
175,Product,275
175,Product,275
175,Product,275
175,Product,275
174,Product,274
174,Product,274
174,Product,274
174,Product,274
173,Product,273
173,Product,273
172,Product,272
172,Product,272
171,Product,271
171,Product,271
171,Product,271
171,Product,271
171,Product,271
171,Product,271
170,Product,270
170,Product,270
170,Product,270
170,Product,270
169,Product,269
169,Product,269
168,Product,268
168,Product,268
168,Product,268
168,Product,268
167,Product,267
167,Product,267
167,Product,267
167,Product,267
166,Product,266
166,Product,266
166,Product,266
166,Product,266
165,Product,265
165,Product,265
164,Product,264
164,Product,264
163,Product,263
163,Product,263
162,Product,262
162,Product,262
157,Product,257
157,Product,257
156,Product,256
156,Product,256
156,Product,256
156,Product,256
156,Product,256
156,Product,256
155,Product,255
155,Product,255
153,Product,253
153,Product,253
151,Product,251
151,Product,251
150,Product,250
150,Product,250
149,Product,249
149,Product,249
146,Product,246
146,Product,246
141,Product,241
141,Product,241
136,Product,236
136,Product,236
134,Product,234
134,Product,234
131,Product,231
131,Product,231
130,Product,230
130,Product,230
130,Product,230
130,Product,230
129,Product,229
129,Product,229
129,Product,229
129,Product,229
127,Product,227
127,Product,227
123,Product,223
123,Product,223
121,Product,221
121,Product,221
120,Product,220
120,Product,220
117,Product,217
117,Product,217
116,Product,216
116,Product,216
113,Product,213
113,Product,213
110,Product,210
110,Product,210
101,Product,201
101,Product,201
100,Product,200
100,Product,200
99,Product,199
99,Product,199
97,Product,197
97,Product,197
80,Product,180
80,Product,180
79,Product,179
79,Product,179
79,Product,179
79,Product,179
79,Product,179
79,Product,179
73,Product,173
73,Product,173
69,Product,169
69,Product,169
68,Product,168
68,Product,168
67,Product,167
67,Product,167
66,Product,166
66,Product,166
63,Product,163
63,Product,163
62,Product,162
62,Product,162
61,Product,161
61,Product,161
60,Product,160
60,Product,160
57,Product,157
57,Product,157
40,Product,140
40,Product,140
38,Product,138
38,Product,138
36,Product,136
36,Product,136
22,Product,122
22,Product,122
13,Product,113
13,Product,113
10,Product,110
10,Product,110
